Zona;Sede;Año;Mes;Ingresos;Costos;Ut_Bruta;Gastos;Ut_Operativa;Empl_Admon;Empl_Operativo;Ordenes;Hrs_Reales;Hrs_Posibles;Nivel_rentab
Zonas Secundarias;Medellin Alistamiento;2021;ene;130985262;75747717;55237545;22969352;32268193;0;11;297;725;1120;Media
Zonas Secundarias;Medellin Alistamiento;2021;feb;153990095;60845429;93144666;15689387;77455279;1;10;342;924;960;Alta
Zonas Secundarias;Medellin Alistamiento;2021;mar;202392276;82840534;119551742;17039667;102512075;1;10;592;1084;960;Alta
Zonas Secundarias;Medellin Alistamiento;2021;abr;143886122;72250513;71635609;9173052;62462557;1;10;426;752;960;Alta
Zonas Secundarias;Medellin Alistamiento;2021;may;110708724;63899043;46809681;14075570;32734111;1;10;297;544;960;Media
Zonas Secundarias;Medellin Alistamiento;2021;jun;171542134;90968813;80573321;18437959;62135362;1;12;496;860;960;Media
Zonas Secundarias;Medellin Alistamiento;2021;jul;196665613;95326747;101338866;19012117;82326749;1;12;453;958;960;Media
Zonas Secundarias;Medellin Alistamiento;2021;ago;194389471;92556687;101832784;15821869;86010915;1;13;458;1005;1120;Alta
Zonas Secundarias;Medellin Alistamiento;2021;sep;238091585;124583390;113508195;20173258;93334937;1;12;575;1123;1120;Media
Zonas Secundarias;Medellin Alistamiento;2021;oct;172459483;85545077;86914406;18066422;68847984;1;12;439;859;1120;Media
Zonas Secundarias;Medellin Alistamiento;2021;nov;178159892;85222053;92937839;13119276;79818563;0;11;427;854;960;Alta
Zonas Secundarias;Medellin Alistamiento;2021;dic;153266562;74906874;78359688;4471574;73888114;0;11;345;707;960;Alta
Zonas Secundarias;Medellin Alistamiento;2022;ene;68153785;62997120;5156665;8869714;-3713049;0;11;159;318;960;Perdida
Zonas Secundarias;Medellin Alistamiento;2022;feb;128016801;76165476;51851325;9815933;42035392;0;11;282;587;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;mar;96480781;62076029;34404752;12884899;21519853;0;11;210;461;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;abr;135706466;74041702;61664764;17082000;44582764;1;10;283;677;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;may;138842141;71257631;67584510;16392228;51192282;1;10;267;672;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;jun;137241577;78271289;58970288;16266080;42704208;1;10;250;566;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;jul;124137159;77326230;46810929;16585174;30225755;1;10;247;542;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;ago;110530573;62942683;47587890;16772796;30815094;1;10;230;527;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;sep;85936908;68266777;17670131;17017684;652447;1;10;166;357;800;Perdida
Zonas Secundarias;Medellin Alistamiento;2022;oct;50392353;47080131;3312222;14026388;-10714166;1;10;106;223;800;Perdida
Zonas Secundarias;Medellin Alistamiento;2022;nov;72499625;57459455;15040170;15323651;-283481;1;10;128;289;1600;Perdida
Zonas Secundarias;Medellin Alistamiento;2022;dic;64244272;51866432;12377840;15913694;-3535854;1;10;125;253;800;Perdida
Zonas Secundarias;Medellin Alistamiento;2023;ene;48926451;52516670;-3590219;11952183;-15542402;1;10;89;176;800;Perdida
Zonas Secundarias;Medellin Alistamiento;2023;feb;78099848;63940135;14159713;18705128;-4545415;1;10;121;297;800;Perdida
Zonas Secundarias;Medellin Alistamiento;2023;mar;117394259;84062414;33331845;13881877;19449968;1;10;196;404;800;Baja
Zonas Secundarias;Medellin Alistamiento;2023;abr;136594723;85176649;51418074;26021740;25396334;1;9;230;496;800;Baja
Zonas Secundarias;Medellin Alistamiento;2023;may;133233185;77575724;55657461;13116194;42541267;1;9;237;505;800;Media
Zonas Secundarias;Medellin Alistamiento;2023;jun;102482970;65627802;36855168;22396727;14458441;1;9;176;392;800;Baja
Zonas Secundarias;Medellin Alistamiento;2023;jul;104751930;61849130;42902800;13429371;29473429;1;9;176;405;800;Media
