Zona;Sede;Línea de negocio;Año;Mes;Ingresos;Costo_mat_prima;Costo_M.Obra;Utilidad_Bruta;Mg_Bruto;Gastos_operativos;Gastos_personal;Ut_Operacional;Mg_Operacional;Empl_Admon;Empl_Operativo;Ordenes;Hrs_Ejecutadas;Capac_Hrs
Zona Bogotá;Bogotá Calle 13;Servicio;2021;ene;299.325.646;104646270;113157183;81.522.194;27,20%;109.535.846;54461889;-82.475.542;-27,60%;14;32;521;1676,44;4730
Zona Bogotá;Bogotá Calle 13;Servicio;2021;feb;462.791.315;202931576;122156616;137.703.123;29,80%;133.847.321;70104228;-66.248.425;-14,30%;15;32;808;2271,48;4730
Zona Bogotá;Bogotá Calle 13;Servicio;2021;mar;695.122.706;197129974;132586438;365.406.294;52,60%;145.532.851;67786612;152.086.830;21,90%;14;31;973;2919,44;4250
Zona Bogotá;Bogotá Calle 13;Servicio;2021;abr;247.412.027;84143832;129165712;34.102.484;13,80%;118.218.962;-28819424;-55.297.054;-22,40%;15;30;606;2104,14;4410
Zona Bogotá;Bogotá Calle 13;Servicio;2021;may;407.855.098;126792611;119287355;161.775.133;39,70%;110.659.325;68472752;-17.356.945;-4,30%;16;30;635;2100,92;4410
Zona Bogotá;Bogotá Calle 13;Servicio;2021;jun;489.018.742;149040195;134349234;205.629.313;42,00%;129.373.273;73451910;2.804.130;0,60%;15;30;787;2603,77;4410
Zona Bogotá;Bogotá Calle 13;Servicio;2021;jul;546.758.579;168597730;142395200;235.765.648;43,10%;111.627.124;75467302;48.671.222;8,90%;15;35;872;2878,88;4410
Zona Bogotá;Bogotá Calle 13;Servicio;2021;ago;524.375.357;-135297170;151958624;507.713.903;96,80%;110.626.300;79632770;317.454.833;60,50%;16;35;890;3008,88;4410
Zona Bogotá;Bogotá Calle 13;Servicio;2021;sep;567.222.938;152273925;154727215;260.221.798;45,90%;114.531.298;78009121;67.681.379;11,90%;15;34;961;3141,22;4570
Zona Bogotá;Bogotá Calle 13;Servicio;2021;oct;572.954.329;134272713;170533505;268.148.110;46,80%;125.561.941;90994686;51.591.484;9,00%;18;34;896;3200,9;4250
Zona Bogotá;Bogotá Calle 13;Servicio;2021;nov;516.883.028;126861145;133920412;256.101.471;49,50%;133.261.115;80722415;42.117.942;8,10%;18;36;805;2792;4570
Zona Bogotá;Bogotá Calle 13;Servicio;2021;dic;666.661.219;140745881;156673016;369.242.322;55,40%;180.855.988;94307918;94.078.416;14,10%;18;36;1089;3809,33;4570
Zona Bogotá;Bogotá Calle 13;Servicio;2022;ene;501.141.914;120419836;147296307;233.425.771;46,60%;170.843.315;75917560;-13.335.104;-2,70%;18;37;864;2745,48;4570
Zona Bogotá;Bogotá Calle 13;Servicio;2022;feb;538.090.019;119540514;155773615;262.775.891;48,80%;143.833.609;77243015;41.699.266;7,70%;18;37;811;2914,59;4570
Zona Bogotá;Bogotá Calle 13;Servicio;2022;mar;604.561.302;151719131;161139339;291.702.832;48,30%;151.492.755;79005464;61.204.612;10,10%;16;36;901;3272,88;4570
Zona Bogotá;Bogotá Calle 13;Servicio;2022;abr;554.629.028;175031642;148240064;231.357.321;41,70%;164.452.647;84589235;-17.684.561;-3,20%;17;34;809;2921,25;4570
