Zona;Sede;Año;Mes;Ingresos;Costos;Ut_Bruta;Ut_Operativa;Empl_Operativo;Hrs_Reales;Hrs_Posibles;Nivel_rentab
Zonas Secundarias;Medellin Alistamiento;2021;ene;130985262;75747717;55237545;32268193;11;725;1120;Media
Zonas Secundarias;Medellin Alistamiento;2021;feb;153990095;60845429;93144666;77455279;10;924;960;Alta
Zonas Secundarias;Medellin Alistamiento;2021;mar;202392276;82840534;119551742;102512075;10;1084;960;Alta
Zonas Secundarias;Medellin Alistamiento;2021;abr;143886122;72250513;71635609;62462557;10;752;960;Alta
Zonas Secundarias;Medellin Alistamiento;2021;may;110708724;63899043;46809681;32734111;10;544;960;Media
Zonas Secundarias;Medellin Alistamiento;2021;jun;171542134;90968813;80573321;62135362;12;860;960;Media
Zonas Secundarias;Medellin Alistamiento;2021;jul;196665613;95326747;101338866;82326749;12;958;960;Media
Zonas Secundarias;Medellin Alistamiento;2021;ago;194389471;92556687;101832784;86010915;13;1005;1120;Alta
Zonas Secundarias;Medellin Alistamiento;2021;sep;238091585;124583390;113508195;93334937;12;1123;1120;Media
Zonas Secundarias;Medellin Alistamiento;2021;oct;172459483;85545077;86914406;68847984;12;859;1120;Media
Zonas Secundarias;Medellin Alistamiento;2021;nov;178159892;85222053;92937839;79818563;11;854;960;Alta
Zonas Secundarias;Medellin Alistamiento;2021;dic;153266562;74906874;78359688;73888114;11;707;960;Alta
Zonas Secundarias;Medellin Alistamiento;2022;ene;68153785;62997120;5156665;-3713049;11;318;960;Perdida
Zonas Secundarias;Medellin Alistamiento;2022;feb;128016801;76165476;51851325;42035392;11;587;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;mar;96480781;62076029;34404752;21519853;11;461;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;abr;135706466;74041702;61664764;44582764;10;677;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;may;138842141;71257631;67584510;51192282;10;672;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;jun;137241577;78271289;58970288;42704208;10;566;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;jul;124137159;77326230;46810929;30225755;10;542;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;ago;110530573;62942683;47587890;30815094;10;527;800;Media
Zonas Secundarias;Medellin Alistamiento;2022;sep;85936908;68266777;17670131;652447;10;357;800;Perdida
Zonas Secundarias;Medellin Alistamiento;2022;oct;50392353;47080131;3312222;-10714166;10;223;800;Perdida
Zonas Secundarias;Medellin Alistamiento;2022;nov;72499625;57459455;15040170;-283481;10;289;1600;Perdida
Zonas Secundarias;Medellin Alistamiento;2022;dic;64244272;51866432;12377840;-3535854;10;253;800;Perdida
Zonas Secundarias;Medellin Alistamiento;2023;ene;48926451;52516670;-3590219;-15542402;10;176;800;Perdida
Zonas Secundarias;Medellin Alistamiento;2023;feb;78099848;63940135;14159713;-4545415;10;297;800;Perdida
Zonas Secundarias;Medellin Alistamiento;2023;mar;117394259;84062414;33331845;19449968;10;404;800;Baja
Zonas Secundarias;Medellin Alistamiento;2023;abr;136594723;85176649;51418074;25396334;9;496;800;Baja
Zonas Secundarias;Medellin Alistamiento;2023;may;133233185;77575724;55657461;42541267;9;505;800;Media
Zonas Secundarias;Medellin Alistamiento;2023;jun;102482970;65627802;36855168;14458441;9;392;800;Baja
Zonas Secundarias;Medellin Alistamiento;2023;jul;104751930;61849130;42902800;29473429;9;405;800;Media
Zonas Secundarias;Medellin Alistamiento;2023;ago;107044799;62735639;44309160;21827439;8;437;640;Baja
Zonas Secundarias;Medellin Alistamiento;2023;sep;167583260;54850487;112732773;98707685;7;628;480;Alta
Zonas Secundarias;Medellin Alistamiento;2023;oct;155996793;76456269;79540524;47117931;7;537;480;Media
Zonas Secundarias;Medellin Alistamiento;2023;nov;133450241;71720086;61730155;45787248;7;443;480;Media
Zonas Secundarias;Medellin Alistamiento;2023;dic;168656138;52310666;116345472;108794653;8;539;480;Alta
Zonas Secundarias;Medellin Alistamiento;2024;ene;90612364;61336886;29275478;17462823;8;323;480;Baja
Zonas Secundarias;Medellin Alistamiento;2024;feb;189281647;97648360;91633287;80654980;9;647;640;Media
Zonas Secundarias;Medellin Alistamiento;2024;mar;181859179;93475073;88384106;76981772;9;616;640;Media
Zonas Secundarias;Medellin Alistamiento;2024;abr;182753168;76325133;106428035;94052660;9;615;640;Alta
