Zona,Sede,Año,Mes,Ingresos,Costo_mat_prima,Costo_M.Obra,Utilidad_Bruta,Gastos_operativos,Gastos_personal,Ut_Operacional,Empl_Admon,Empl_Operativo,Ordenes,Hrs_Ejecutadas,Capac_Hrs,Mg_Bruto,Mg_Operacional
Zona Antioquia,Medellín Alistamiento,2021,ene,130985262,24585616,51162101,55237545,13907989,9061363,32268193,0,11,297,725,1120,0.421708092624955,0.24634979926214906
Zona Antioquia,Medellín Alistamiento,2021,feb,153990095,21756687,39088742,93144666,10265877,5423510,77455279,1,10,342,924,960,0.6048743979279966,0.5029887084620605
Zona Antioquia,Medellín Alistamiento,2021,mar,202392276,36939018,45901516,119551742,9733295,7306372,102512075,1,10,592,1084,960,0.5906932041220783,0.5065019131461321
Zona Antioquia,Medellín Alistamiento,2021,abr,143886122,32593098,39657415,71635609,4947858,4225194,62462557,1,10,426,752,960,0.49786322686492307,0.4341110604120667
Zona Antioquia,Medellín Alistamiento,2021,may,110708724,25521746,38377297,46809681,9857018,4218552,32734111,1,10,297,544,960,0.42281835892174136,0.2956777913906767
Zona Antioquia,Medellín Alistamiento,2021,jun,171542134,37371620,53597193,80573321,10738429,7699530,62135362,1,12,496,860,960,0.469699887259185,0.36221632873006
Zona Antioquia,Medellín Alistamiento,2021,jul,196665613,44441223,50885524,101338866,12210497,6801620,82326749,1,12,453,958,960,0.5152851301971128,0.4186128309070483
Zona Antioquia,Medellín Alistamiento,2021,ago,194389471,40091091,52465596,101832784,10800593,5021276,86010915,1,13,458,1005,1120,0.523859566447403,0.44246694307841394
Zona Antioquia,Medellín Alistamiento,2021,sep,238091585,61598418,62984972,113508195,13368152,6805106,93334937,1,12,575,1123,1120,0.4767417336484194,0.39201275005162406
Zona Antioquia,Medellín Alistamiento,2021,oct,172459483,35229017,50316060,86914406,13043048,5023374,68847984,1,12,439,859,1120,0.5039700020439004,0.3992125153245415
Zona Antioquia,Medellín Alistamiento,2021,nov,178159892,36727612,48494441,92937839,12615128,504148,79818563,0,11,427,854,960,0.5216541049542172,0.44801645366960596
Zona Antioquia,Medellín Alistamiento,2021,dic,153266562,36697432,38209442,78359688,8930293,-4458719,73888114,0,11,345,707,960,0.5112640812025261,0.4820889373117145
